ID,variable,value_1,value_2,resolution
24,HLTH_SMK,No,Yes,Yes
24,HLTH_SMK_RAW,No,Yes,Na
190,D_HH_SIZE,6,3,6
191,D_HH_SIZE,3,8,8
320,D_EMP_TYPE,Trabajo domestico. Trabajo comerciante.,NA,Trabajo domestico. Trabajo comerciante.
320,D_EMP_TYPE_RAW,Trabajo domestico. Trabajo comerciante.,NA,Trabajo domestico. Trabajo comerciante.
322,D_AGE,33,34,34
323,D_EMP_TYPE,tiene un negocio,NA,tiene un negocio
323,D_EMP_TYPE_RAW,tiene un negocio,NA,NA
324,D_AGE,20,21,21
325,D_AGE,43,44,44
326,D_AGE,35,36,36
327,D_AGE,27,28,28
327,SES_EDU_CAT,Licenciatura incompleta,carrera tecnica bachi,carrera tecnica bachi
328,D_AGE,43,44,44
329,D_YRBR,2001,2002,2002
331,D_AGE,34,35,35
332,D_AGE,45,46,46
333,D_AGE,31,32,32
334,D_EMP_TYPE,"Si, seguridad privada.",NA,"Si, seguridad privada."
334,D_EMP_TYPE_RAW,"Si, seguridad privada.",NA,"Si, seguridad privada."
335,D_AGE,27,28,28
336,D_AGE,32,33,33
337,D_AGE,33,34,34
338,D_AGE,22,23,23
339,D_AGE,37,38,38
340,D_AGE,30,31,31
341,D_AGE,33,34,34
343,D_AGE,27,28,28
344,D_AGE,30,31,31
345,D_AGE,24,25,25
362,D_AGE,28,29,29
364,D_AGE,33,34,34
365,D_AGE,32,33,33
366,D_AGE,43,44,44
367,D_AGE,32,33,33
368,D_AGE,41,42,42
369,D_AGE,32,33,33
370,D_AGE,34,35,34
371,D_AGE,37,38,38
372,D_AGE,30,31,30
373,D_AGE,31,32,31
374,D_AGE,37,38,37
375,D_AGE,25,24,25
376,D_YRBR,1993,1998,1998
376,D_AGE,29,25,25
377,D_AGE,19,20,20
378,D_AGE,22,23,23
379,D_AGE,38,39,39
380,D_AGE,39,40,40
381,D_AGE,18,19,19
382,D_AGE,27,28,28
383,D_AGE,24,25,25
384,D_AGE,44,45,45
385,D_AGE,21,22,22
386,D_AGE,20,21,21
387,D_AGE,22,23,22
388,D_AGE,37,38,38
389,D_AGE,33,34,34
390,D_AGE,26,27,27
391,D_AGE,29,30,30
391,D_LOC_CODE,9690,9640,9640
393,D_AGE,29,30,30
394,D_LOC_TIME,3,31,31
394,D_EMP_TYPE,Comerciante,Informal,Comerciante
394,D_EMP_TYPE_RAW,Comerciante,Informal,Comerciante
395,D_AGE,18,19,18
415,D_CHLD,333,2,2
415,D_CHLD_RAW,333,2,2
427,D_CHLD,1,4,4
427,W_STORAGE,tambos chiquitos--> turnos (3 famen terreno) --> una toma de agua,tambos chiquitos --> turnos (3 fam en terreno) --> una toma de agua,tambos chiquitos--> turnos (3 famen terreno) --> una toma de agua
427,SES_EDU_CAT,5 to de primaria,Primaria incompleta,Primaria incompleta
427,D_CHLD_RAW,1,4,4
453,W_HH_SIZE,15,viven mas familias ahi. llave sole en lavando,15
476,W_STORAGE,"tinaco --> bathroom (baniarse)
botes--> 2 llaves directo de calle",Tinaco--> bathroom. Botes--> 2 llaves directo de calle,Tinaco--> bathroom. Botes--> 2 llaves directo de calle
496,D_LOC_CODE,9960,9780,9780
7,D_LOC_TIME,NA,NA,NA
9,D_LOC_TIME,NA,NA,NA
18,D_LOC_TIME,NA,NA,NA
34,D_LOC_TIME,NA,NA,NA
38,D_LOC_TIME,NA,NA,NA
41,D_LOC_TIME,NA,NA,NA
62,D_LOC_TIME,NA,NA,NA
63,D_LOC_TIME,NA,NA,NA
66,D_LOC_TIME,NA,NA,NA
110,D_LOC_TIME,NA,NA,NA
138,D_LOC_TIME,NA,NA,NA
150,D_LOC_TIME,NA,NA,NA
184,D_LOC_TIME,NA,"Calle Simon Bolivar 24, Lomas de 2",NA
189,D_LOC_TIME,NA,No hay una repuesta para el tiempo que ha vivido en esta colonia,NA
194,D_LOC_TIME,NA,No hay el tiempo que ha vivido en esta colonia,NA
197,D_LOC_TIME,NA,NA,NA
301,D_LOC_TIME,NA,NA,NA
302,D_LOC_TIME,NA,NA,NA
303,D_LOC_TIME,NA,NA,NA
304,D_LOC_TIME,NA,NA,NA
305,D_LOC_TIME,NA,NA,NA
306,D_LOC_TIME,NA,NA,NA
307,D_LOC_TIME,NA,NA,NA
308,D_LOC_TIME,NA,NA,NA
309,D_LOC_TIME,NA,NA,NA
310,D_LOC_TIME,NA,NA,NA
311,D_LOC_TIME,NA,NA,NA
312,D_LOC_TIME,NA,NA,NA
313,D_LOC_TIME,NA,NA,NA
314,D_LOC_TIME,NA,NA,NA
315,D_LOC_TIME,NA,NA,NA
316,D_LOC_TIME,NA,NA,NA
317,D_LOC_TIME,NA,NA,NA
318,D_LOC_TIME,NA,NA,NA
319,D_LOC_TIME,NA,NA,NA
320,D_LOC_TIME,NA,NA,NA
321,D_LOC_TIME,NA,NA,NA
322,D_LOC_TIME,NA,NA,NA
323,D_LOC_TIME,NA,NA,NA
324,D_LOC_TIME,NA,NA,NA
325,D_LOC_TIME,NA,NA,NA
326,D_LOC_TIME,NA,NA,NA
327,D_LOC_TIME,NA,NA,NA
328,D_LOC_TIME,NA,NA,NA
329,D_LOC_TIME,NA,NA,NA
330,D_LOC_TIME,NA,NA,NA
331,D_LOC_TIME,NA,NA,NA
332,D_LOC_TIME,NA,NA,NA
333,D_LOC_TIME,NA,NA,NA
334,D_LOC_TIME,NA,NA,NA
335,D_LOC_TIME,NA,NA,NA
336,D_LOC_TIME,NA,NA,NA
337,D_LOC_TIME,NA,NA,NA
338,D_LOC_TIME,NA,NA,NA
339,D_LOC_TIME,NA,NA,NA
340,D_LOC_TIME,NA,NA,NA
341,D_LOC_TIME,NA,NA,NA
342,D_LOC_TIME,NA,NA,NA
343,D_LOC_TIME,NA,NA,NA
344,D_LOC_TIME,NA,NA,NA
345,D_LOC_TIME,NA,NA,NA
346,D_LOC_TIME,NA,NA,NA
347,D_LOC_TIME,NA,NA,NA
348,D_LOC_TIME,NA,NA,NA
349,D_LOC_TIME,NA,NA,NA
350,D_LOC_TIME,NA,NA,NA
351,D_LOC_TIME,NA,NA,NA
