"ID","variable","value_1","value_2","resolution"
"329","D_YRBR","2001","2002",NA
"376","D_YRBR","1993","1998",NA
"322","D_AGE","33","34",NA
"324","D_AGE","20","21",NA
"325","D_AGE","43","44",NA
"326","D_AGE","35","36",NA
"327","D_AGE","27","28",NA
"328","D_AGE","43","44",NA
"331","D_AGE","34","35",NA
"332","D_AGE","45","46",NA
"333","D_AGE","31","32",NA
"335","D_AGE","27","28",NA
"336","D_AGE","32","33",NA
"337","D_AGE","33","34",NA
"338","D_AGE","22","23",NA
"339","D_AGE","37","38",NA
"340","D_AGE","30","31",NA
"341","D_AGE","33","34",NA
"343","D_AGE","27","28",NA
"344","D_AGE","30","31",NA
"345","D_AGE","24","25",NA
"362","D_AGE","28","29",NA
"364","D_AGE","33","34",NA
"365","D_AGE","32","33",NA
"366","D_AGE","43","44",NA
"367","D_AGE","32","33",NA
"368","D_AGE","41","42",NA
"369","D_AGE","32","33",NA
"370","D_AGE","34","35",NA
"371","D_AGE","37","38",NA
"372","D_AGE","30","31",NA
"373","D_AGE","31","32",NA
"374","D_AGE","37","38",NA
"375","D_AGE","25","24",NA
"376","D_AGE","29","25",NA
"377","D_AGE","19","20",NA
"378","D_AGE","22","23",NA
"379","D_AGE","38","39",NA
"380","D_AGE","39","40",NA
"381","D_AGE","18","19",NA
"382","D_AGE","27","28",NA
"383","D_AGE","24","25",NA
"384","D_AGE","44","45",NA
"385","D_AGE","21","22",NA
"386","D_AGE","20","21",NA
"387","D_AGE","22","23",NA
"388","D_AGE","37","38",NA
"389","D_AGE","33","34",NA
"390","D_AGE","26","27",NA
"391","D_AGE","30","29",NA
"393","D_AGE","29","30",NA
"395","D_AGE","18","19",NA
"391","D_LOC_CODE","9640","9690",NA
"496","D_LOC_CODE","9780","9960",NA
"394","D_LOC_TIME","3","31",NA
"24","HLTH_SMK","No","Yes",NA
"71","HLTH_CDIS_CAT","444","444",NA
"190","D_HH_SIZE","6","3",NA
"191","D_HH_SIZE","3","8",NA
"415","D_CHLD","333","2",NA
"427","D_CHLD","1","4",NA
"320","D_EMP_TYPE","Trabajo domestico. Trabajo comerciante.",NA,NA
"334","D_EMP_TYPE","Si, seguridad privada.",NA,NA
"394","D_EMP_TYPE","Comerciante","Informal",NA
"453","W_HH_SIZE","15","viven mas familias ahi. llave sole en lavando",NA
"427","W_STORAGE","tambos chiquitos--> turnos (3 famen terreno) --> una toma de agua","tambos chiquitos --> turnos (3 fam en terreno) --> una toma de agua",NA
"476","W_STORAGE","tinaco --> bathroom (baniarse)
botes--> 2 llaves directo de calle","Tinaco--> bathroom. Botes--> 2 llaves directo de calle",NA
"24","HLTH_SMK_RAW","No","Yes",NA
"320","D_EMP_TYPE_RAW","Trabajo domestico. Trabajo comerciante.",NA,NA
"334","D_EMP_TYPE_RAW","Si, seguridad privada.",NA,NA
"394","D_EMP_TYPE_RAW","Comerciante","Informal",NA
"415","D_CHLD_RAW","333","2",NA
"427","D_CHLD_RAW","1","4",NA
